New_name	Bin	ID	Sample	Subject	SNP_new	SNP_y_n	Abundance_v3	Growth_rate	Growth_rate2	GC	N50	Size	N_size	Bin_depth	Ndepth	Log2_depth	Culture_or_Unculture	New_species	Final_tax	Turst_tax	SpecI_id1	SpecI_id2	SpecI_tax	Pretein_get_annontation	Pretein_get_annontation_full_length	Protein_genus	Proteinsame_genus_num	Pretein_species	pretein_same_species_num	Protein_average_id	top_tax_name	nt_top_ant_length_percent	contig_num	ant_contig_num	all_tax_num	GTDBTK_ant	GTDBTK_ant_ani	protein_num	get_ko_num	ko_num	get_cazy_num	cazy_num	Domain	Phylum	Class	Order	Family	Genus	Species	lineage_final_tax
YA37_bin.129	YA37_bin.129	YA37.M002	YA37	Y37	0.431995751	Y	High	1.06	Low	0.408	485353	2459334	3009022.17	555.8854587	237.2960227	7.89054411	N	N	Roseburia sp. AF25-18LB 	f	UNASSINGED	78.75611802	Roseburia inulinivorans	2280	2204	1647	Roseburia	Roseburia sp. AF25-18LB 	726	98.78	Unclassified	0	5	0	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-45;s__GCA_900066395.1	97.52	2285	1313	971	86	38	d_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Lachnospiraceae	g_Roseburia	s_Roseburia sp. AF25-18LB	d_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Roseburia;s_Roseburia sp. AF25-18LB
YA37_bin.149	YA37_bin.149.strict_filtered2000	YA37.M034	YA37	Y37	19.20604899	Y	Low	1.49	Medium	0.425	59433	4860382	5735505.416	18.15490768	7.749955173	2.954187966	Y	N	Bacteroides intestinalis 	s	FOUND	99.3068181	Bacteroides intestinalis	3725	3490	3358	Bacteroides	Bacteroides intestinalis 	1491	98.74	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides cellulosilyticus	0.694034131	129	95	4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis	98.55	3756	1727	1128	389	122	d_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae	g_Bacteroides	s_Bacteroides intestinalis	d_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides intestinalis
F1900372.42	F1900372.49	HC372.M042	F1900372	F1900372	5.67836708	Y	Low	1.63	Medium	0.579	142354	5019100	5141572.251	33.85816215	1.829294657	0.871287479	Y	N	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Klebsiella;s_Klebsiella pneumoniae	NA	FOUND	399	Klebsiella variicola/pneumoniae	4702	4693	4582	Klebsiella	Klebsiella pneumoniae IS22 	1739	99.8	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Klebsiella;s_Klebsiella pneumoniae	0.980749537	94	93	10			4676	3600	2809			d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	f_Enterobacteriaceae	g_Klebsiella	s_Klebsiella pneumoniae	
F1900186.22	F1900186.22	ES186.M022	F1900186	F1900186	5.625041275	Y	Low	1.8	Fast	0.582	57902	5015987	5078914.754	19.01181775	3.484313205	1.800874314	Y	N	Klebsiella	NA	UNASSINGED	399	Klebsiella variicola/pneumoniae	4740	4701	4512	Klebsiella	Klebsiella pneumoniae 	2696	99.39	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Klebsiella;s_Klebsiella quasipneumoniae	0.595454494	159	159	4			4724	3611	2830			d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacterales	f_Enterobacteriaceae	g_Klebsiella	s_Klebsiella	
YA37_bin.11	YA37_bin.11.strict_filtered2000	YA37.M028	YA37	Y37	5.520549302	Y	Low	1.42	Medium	0.448	57138	4357764	4650116.846	21.97575535	9.380996137	3.229741126	Y	N	Parabacteroides distasonis	s	FOUND	99.39684242	Parabacteroides distasonis	3669	3482	1809	Parabacteroides	Parabacteroides distasonis 	1212	99.81	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis	0.56759361	110	102	2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	98.37	3713	1767	1222	196	71	d_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Tannerellaceae	g_Parabacteroides	s_Parabacteroides distasonis	d_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis
F1900186.44	F1900186.44	ES186.M044	F1900186	F1900186	5.399854237	Y	Low	1.46	Medium	0.465	18602	2546142	2761093.098	24.67537413	4.522278356	2.177049796	Y	N	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B glycyrrhizinilyticum	NA	FOUND	1612	unnamed Lachnospiraceae bacterium 1_4_56FAA	2471	2444	2134	Lachnospiraceae	Lachnospiraceae bacterium 1_4_56FAA 	1317	99	k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_[Ruminococcus] torques	0.014714419	237	15	5			2443	1518	1111			d_Bacteria	p_Firmicutes	c_Clostridia	o_Lachnospirales	f_Lachnospiraceae	g_Ruminococcus	s_Ruminococcus glycyrrhizinilyticum	
YA37_bin.22	YA37_bin.22	YA37.M031	YA37	Y37	4.906846292	Y	Low	1.37	Medium	0.416	57671	3072864	3672380.042	20.8238961	8.889291211	3.15206839	Y	N	unnamed Ruminococcus sp. 5_1_39BFAA	g	FOUND	99.10708536	unnamed Ruminococcus sp. 5_1_39BFAA	2682	2517	1606	Ruminococcus	Ruminococcus sp. AM18-15 	1015	98.21	k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Ruminococcus;s_Ruminococcus sp. SR1/5	0.016387318	89	22	8	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	97.12	2673	1477	1051	79	36	d_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Ruminococcaceae	g_Ruminococcus	s_Ruminococcus sp. SR1/5	d_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Ruminococcus;s_Ruminococcus sp. SR1/5
F1900143.11	F1900143.11	ES143.M011	F1900143	F1900143	4.523790407	Y	Low	1.62	Medium	0.444	21834	3600799	3815375.731	26.88928653	7.113426376	2.830544641	Y	N	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Eubacterium_D;s__Eubacterium_D innocuum	NA	FOUND	1278	unnamed Clostridium sp. HGF2	3622	3589	3299	Clostridium	Clostridium sp. HGF2 	1888	99.56	k_Bacteria;p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_Erysipelotrichaceae;g_Erysipelatoclostridium;s_[Clostridium] innocuum	0.486941648	246	240	2			3589	1916	1184			d_Bacteria	p_Firmicutes	c_Bacilli	o_Erysipelotrichales	f_Erysipelotrichaceae	g_Eubacterium	s_Eubacterium innocuum	
F1900372.63	F1900372.75	HC372.M063	F1900372	F1900372	4.327181419	Y	Low	1.19	Low	0.638	97092	2517239	2648860.898	76.68786578	4.143305314	2.050782134	Y	N	k_Bacteria;p_Actinobacteria;c_Coriobacteriia;o_Eggerthellales;f_Eggerthellaceae;g_Adlercreutzia;s_Adlercreutzia equolifaciens	NA	UNASSINGED	817	Eggerthella lenta	2088	2053	1959	Asaccharobacter	Adlercreutzia equolifaciens 	786	96.15	k_Bacteria;p_Actinobacteria;c_Coriobacteriia;o_Eggerthellales;f_Eggerthellaceae;g_Adlercreutzia;s_Adlercreutzia equolifaciens	0.967533476	53	49	2			2061	1191	901			d_Bacteria	p_Actinobacteria	c_Coriobacteriia	o_Eggerthellales	f_Eggerthellaceae	g_Adlercreutzia	s_Adlercreutzia equolifaciens	
F1900186.50	F1900186.50	ES186.M050	F1900186	F1900186	3.96259831	Y	Low	1.44	Medium	0.649	11847	2882323	3116328.075	23.271121	4.264919602	2.092518546	Y	N	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta	NA	FOUND	817	Eggerthella lenta	2625	2253	1955	Eggerthella	Eggerthella lenta 	1565	95.23	k_Bacteria;p_Actinobacteria;c_Coriobacteriia;o_Eggerthellales;f_Eggerthellaceae;g_Eggerthella;s_Eggerthella lenta	0.968677001	307	304	4			2687	1532	1038			d_Bacteria	p_Actinobacteria	c_Coriobacteriia	o_Coriobacteriales	f_Eggerthellaceae	g_Eggerthella	s_Eggerthella lenta	
